WTeamID,LTeamID,Season,Target,Years_D1,GP,PTS,PTSDiff,Pct,FG,%FG,FG3,%FG3,FT,%FT,OR,DR,DR/OR,AST,TO,AST/TO,STL,STL/TO,BLK,PF,HomePTS,AwayPTS,NeutralPTS,HomeDiff,AwayDiff,NeutralDiff,HomePct,AwayPct,NeutralPct,HomeFG,AwayFG,NeutralFG,Home%FG,Away%FG,Neutral%FG,HomeFG3,AwayFG3,NeutralFG3,Home%FG3,Away%FG3,Neutral%FG3,HomeFT,AwayFT,NeutralFT,Home%FT,Away%FT,Neutral%FT,HomeOR,AwayOR,NeutralOR,HomeDR,AwayDR,NeutralDR,HomeDR/OR,AwayDR/OR,NeutralDR/OR,HomeAst,AwayAst,NeutralAst,HomeTO,AwayTO,NeutralTO,HomeSTL,AwaySTL,NeutralSTL,HomeSTL/TO,AwaySTL/TO,NeutralSTL/TO,HomeBlk,AwayBlk,NeutralBlk,HomePF,AwayPF,NeutralPF,rank
1196,1107,2014,1,15.0,2.0,4.7,10.6,37.9,2.3,0.5,0.4,2.3,-8.8,-3.2,1.3,-0.2,-0.3,2.3,-1.3,0.3,1.7,0.2,-0.2,-1.0,21.5,-31.5,,7.1,2.0,1.5,39.5,30.0,,2.8,1.6,,-4.2,-0.4,5.0,-2.3,4.1,,-0.7,1.4,1.5,-6.1,-9.0,,1.5,-7.0,2.2,0.5,-0.9,1.8,1.7,-5.5,3.6,0.1,-0.7,,5.0,-3.2,,2.0,-9.6,,1.7,1.7,,0.0,0.3,,1.1,-2.8,,4.2,-13.8,,-189.0
1221,1380,2016,1,0.0,2.0,-5.9,-6.2,-18.9,-2.3,-1.1,-1.7,2.7,1.9,-0.4,-2.0,-3.3,0.2,3.6,-0.3,0.4,-0.9,-0.1,-0.8,-2.9,5.1,-57.3,,-3.8,-2.0,-0.4,-9.3,-35.7,,-3.9,-1.6,,-1.2,5.1,-5.1,-1.3,-4.4,,1.6,2.3,-1.2,3.2,1.3,,3.0,0.6,-4.0,0.6,-1.0,-1.6,1.2,0.2,-4.7,-0.0,0.6,,3.8,-0.8,,1.9,-8.5,,-1.0,-1.8,,-0.5,0.1,,0.6,-5.4,,1.4,-19.9,,53.0
1163,1107,2006,1,15.0,-1.0,12.5,11.3,22.3,2.1,2.1,-2.3,-3.7,-0.7,-0.4,5.3,5.7,-0.3,3.3,0.0,0.2,0.2,0.0,6.8,-3.7,21.0,9.0,-2.4,9.8,2.4,-0.8,30.1,27.3,-25.0,2.8,5.7,-12.5,3.7,-1.8,0.1,-1.5,2.3,-20.6,-1.8,-1.7,-0.3,-2.6,-1.5,2.3,2.3,-4.2,1.5,4.3,-0.1,1.1,5.6,-1.1,1.3,-0.3,-0.2,-0.8,6.2,2.4,-6.1,1.8,-1.8,1.7,1.3,-2.0,1.3,0.0,-0.1,0.0,7.8,7.0,1.8,-1.5,-7.9,2.6,-140.0
1376,1181,2017,1,0.0,-4.0,-9.2,-3.9,-9.4,-6.6,-0.4,-4.2,-0.9,-6.7,1.6,2.1,-2.4,-0.6,-0.7,2.1,-0.2,2.0,0.1,-0.8,2.9,2.2,-79.7,-20.3,-1.7,1.1,-3.3,2.2,-8.3,-56.7,-5.1,-8.3,-9.0,0.3,6.4,-7.1,-2.1,-9.2,-8.8,-0.2,1.3,-2.0,-3.0,-9.3,-15.1,3.8,2.0,-4.2,2.4,1.1,-1.5,0.9,1.9,-5.1,-0.7,-0.1,-0.6,0.6,-9.9,-3.5,3.9,-12.4,1.7,1.6,3.5,3.2,-0.1,0.3,0.2,0.1,-4.4,-1.8,4.7,-17.4,3.7,29.0
1196,1195,2013,1,23.0,1.0,-0.7,12.9,10.0,2.5,0.4,5.0,2.6,1.1,-3.3,-1.1,-0.2,0.2,1.1,-3.5,0.4,-1.8,0.0,-0.5,-3.5,11.1,-28.4,-4.3,8.5,3.3,1.1,15.9,12.5,-33.3,2.4,4.0,3.7,-2.5,-1.0,3.9,6.8,1.6,8.7,1.0,-0.0,1.6,10.3,-3.3,-12.0,-0.4,-4.5,1.6,-0.1,-2.1,1.1,-0.2,-2.5,2.5,0.0,0.5,0.3,3.1,-2.2,0.0,-0.9,-10.7,-0.7,-2.5,1.6,-4.7,-0.2,0.2,-0.4,0.7,-3.2,-0.5,-1.6,-10.4,1.8,-106.0
1196,1437,2006,1,0.0,4.0,3.9,2.9,-4.4,8.2,1.7,0.8,-2.7,-1.7,-0.6,-2.9,1.9,0.6,4.4,3.6,0.0,0.4,-0.1,-0.1,-2.3,0.8,18.7,-4.3,4.6,-1.1,-0.6,-5.7,-15.9,25.0,9.9,5.8,5.3,6.1,-4.4,0.0,-0.4,0.6,6.5,-0.7,-2.3,0.2,-8.6,8.6,-4.4,2.3,-2.4,-0.5,0.3,-2.8,-0.3,4.1,-2.8,0.6,0.6,0.6,0.8,3.8,7.3,0.5,2.1,6.4,8.6,-0.4,1.7,-0.5,-0.2,-0.1,-0.5,0.2,1.4,-4.3,-2.7,3.3,-3.9,6.0
1235,1314,2014,1,0.0,1.0,6.6,1.7,6.9,0.9,-1.0,1.5,4.5,6.9,-2.5,-3.8,2.9,1.0,3.0,-1.5,0.5,-1.3,-0.0,-1.8,-2.9,-5.9,71.0,-0.2,0.5,-0.6,1.8,-3.6,13.3,33.3,0.2,0.1,0.9,-0.2,-4.7,3.9,2.3,-8.2,2.3,3.6,-0.7,1.6,4.3,9.7,6.6,-4.4,0.2,1.7,-3.7,-1.3,1.1,0.1,-0.6,3.4,1.6,0.5,0.5,0.8,15.5,2.1,-3.8,10.4,-2.9,-1.9,0.6,-0.1,0.1,-0.2,0.1,-2.0,-0.2,-1.3,-4.7,13.4,-9.2,-13.0
1235,1323,2013,1,0.0,-1.0,9.3,1.2,-6.9,-0.8,-1.7,-0.3,3.0,2.3,0.5,1.2,1.3,-0.1,-1.0,2.2,-0.3,1.4,0.0,-0.9,2.7,-4.3,85.9,4.2,1.3,0.7,-0.7,-10.6,13.3,-16.7,-2.5,5.7,-1.6,0.6,-0.3,-2.1,1.1,4.0,-12.8,3.1,0.7,-0.8,4.4,3.6,-4.5,1.2,0.7,-1.5,0.6,0.9,-0.4,-0.7,3.1,-1.0,-0.4,0.3,-0.1,-4.3,14.2,-0.8,-0.6,16.8,3.5,1.4,0.8,2.1,0.2,-0.1,0.0,-0.4,-1.3,-2.2,0.1,21.5,0.9,13.0
1347,1254,2018,1,0.0,-1.0,-9.8,2.2,11.0,-3.1,0.1,0.2,1.1,3.7,-1.4,0.3,-4.0,-0.4,-0.4,-2.1,0.1,0.7,0.1,-0.2,-2.9,-5.4,-51.6,-7.5,-1.1,1.7,1.6,-2.6,6.3,75.0,-4.4,-2.4,1.2,-2.9,3.0,0.0,-2.3,6.5,0.0,-0.2,1.5,-0.2,5.7,1.3,6.1,-0.8,-1.4,0.8,-0.1,0.5,-0.1,-3.1,-0.6,-0.3,-0.8,-0.3,-0.1,-0.3,-3.4,-4.5,-1.4,-10.3,-1.3,1.1,0.8,-0.8,0.3,0.1,0.0,-0.4,-0.4,-1.0,-2.5,-11.1,-5.0,-79.0
1417,1245,2017,1,0.0,-1.0,14.5,11.9,26.1,9.3,1.8,9.1,1.8,2.8,-5.4,-4.9,4.2,1.3,9.2,-1.4,0.9,-0.2,0.1,1.7,-2.8,-0.5,35.2,10.1,8.1,2.9,0.9,24.6,35.0,11.9,8.9,10.4,6.3,4.9,-2.6,-0.5,8.9,8.2,8.5,1.8,-0.4,0.4,-3.7,11.6,3.6,-1.5,-1.5,-2.5,-1.8,-2.1,-1.0,4.0,-0.3,0.5,1.5,0.8,1.6,6.6,10.9,11.1,-3.8,0.1,2.6,0.2,-0.1,-1.1,0.2,-0.0,-0.2,1.3,2.0,1.6,-6.1,1.0,-0.4,-118.0
