Season,TeamID,Name,Years_D1,GP,PTS,PTSDiff,Pct,FG,%FG,FG3,%FG3,FT,%FT,OR,DR,DR/OR,AST,TO,AST/TO,STL,STL/TO,BLK,PF,HomePTS,AwayPTS,NeutralPTS,HomeDiff,AwayDiff,NeutralDiff,HomePct,AwayPct,NeutralPct,HomeFG,AwayFG,NeutralFG,Home%FG,Away%FG,Neutral%FG,HomeFG3,AwayFG3,NeutralFG3,Home%FG3,Away%FG3,Neutral%FG3,HomeFT,AwayFT,NeutralFT,Home%FT,Away%FT,Neutral%FT,HomeOR,AwayOR,NeutralOR,HomeDR,AwayDR,NeutralDR,HomeDR/OR,AwayDR/OR,NeutralDR/OR,HomeAst,AwayAst,NeutralAst,HomeTO,AwayTO,NeutralTO,HomeSTL,AwaySTL,NeutralSTL,HomeSTL/TO,AwaySTL/TO,NeutralSTL/TO,HomeBlk,AwayBlk,NeutralBlk,HomePF,AwayPF,NeutralPF,rank
2003,1119,Army,37.0,25,53.68,-13.8,12.0,41.18,36.51,35.59,10.95,67.61,16.02,7.92,21.56,2.72,11.72,17.36,0.68,5.56,0.32,1.6,19.32,44.0,68.6,40.0,-9.28,-3.8,-0.72,14.29,10.0,0.0,39.91,43.4,36.59,20.19,15.2,1.12,33.19,40.0,26.67,5.89,4.77,0.3,67.69,68.36,54.55,6.56,9.02,0.45,3.64,4.16,0.12,9.08,11.48,1.0,2.49,2.76,8.33,9.29,15.0,13.0,13.0,23.5,17.0,5.71,5.4,5.0,0.44,0.23,0.29,1.07,2.1,4.0,14.93,25.7,17.0,318
2003,1308,New Mexico St,37.0,28,73.11,5.61,67.86,44.75,35.17,34.68,7.96,73.75,21.69,12.32,23.57,1.91,12.46,13.43,0.93,6.61,0.49,4.04,16.36,56.76,110.13,67.0,2.89,2.36,0.36,64.71,75.0,66.67,43.97,47.61,41.92,21.54,10.21,3.42,31.25,40.43,39.02,4.4,2.78,0.78,74.16,72.65,76.27,10.8,8.7,2.2,5.64,5.71,0.96,11.07,9.71,2.79,1.96,1.7,2.89,10.12,17.13,13.33,9.59,21.75,13.0,7.06,6.25,5.0,0.74,0.29,0.38,3.24,6.5,2.0,11.47,27.88,13.33,92
2003,1330,Old Dominion,37.0,27,66.63,2.04,44.44,40.22,34.85,31.92,8.78,70.24,21.51,13.96,23.85,1.71,14.22,13.3,1.07,8.26,0.62,2.78,18.33,60.69,77.6,52.0,1.85,0.52,-0.33,50.0,40.0,0.0,40.29,40.72,33.33,19.96,13.9,1.0,30.42,34.74,26.32,4.84,3.67,0.28,68.42,74.67,50.0,11.56,9.34,0.61,7.56,5.96,0.44,13.0,9.93,0.93,1.72,1.66,2.08,14.38,14.3,11.0,11.0,17.1,12.0,9.13,7.7,0.0,0.83,0.45,0.0,3.06,2.3,3.0,15.38,22.6,23.0,187
2005,1186,E Washington,37.0,27,61.41,-6.26,25.93,41.91,35.46,33.27,10.07,66.04,19.0,9.37,21.41,2.28,13.67,16.26,0.84,5.19,0.32,1.7,20.85,35.82,114.0,68.5,-4.96,-1.0,-0.3,23.53,25.0,50.0,41.55,40.67,51.09,22.38,10.25,2.83,32.02,32.59,47.22,6.39,2.65,1.03,61.58,70.2,61.9,7.06,10.37,1.57,4.0,4.7,0.67,8.37,11.78,1.26,2.09,2.5,1.89,8.0,25.13,16.0,8.76,33.13,12.5,5.65,4.38,4.5,0.64,0.13,0.36,1.29,3.0,0.0,11.59,40.75,20.0,276
2005,1216,Hartford,37.0,28,59.46,-10.32,28.57,39.15,38.02,28.79,7.75,62.94,16.22,12.75,21.5,1.69,8.96,14.61,0.61,6.71,0.46,1.93,21.07,39.0,138.2,64.67,-6.79,-2.79,-0.75,35.0,0.0,33.33,39.59,35.16,43.35,26.97,6.55,4.5,30.16,22.73,31.11,5.71,1.2,0.84,70.0,56.61,60.0,7.99,6.43,1.8,5.5,6.11,1.14,9.61,9.39,2.5,1.75,1.54,2.19,5.55,21.2,11.33,8.05,40.2,15.7,6.55,7.4,6.7,0.81,0.18,0.43,1.3,5.0,1.0,12.2,58.2,18.33,297
2006,1179,Drake,37.0,29,67.31,-2.9,34.48,42.35,34.58,34.8,7.68,71.86,23.16,14.0,21.34,1.52,12.59,15.76,0.8,8.03,0.51,2.41,16.83,61.33,72.64,77.67,-2.72,0.0,-0.17,40.0,27.27,33.33,40.56,43.42,46.99,17.16,13.01,4.41,31.48,38.13,38.18,3.48,3.13,1.08,69.59,74.51,72.73,11.37,9.73,2.05,6.48,5.86,1.66,11.03,8.0,2.31,1.7,1.36,1.4,11.4,13.91,13.67,14.93,16.82,16.0,8.6,7.45,7.3,0.58,0.44,0.46,2.27,2.55,2.67,13.2,20.64,21.0,155
2006,1279,Mississippi,37.0,30,65.03,-2.67,46.67,43.97,36.44,32.79,9.23,63.0,17.89,12.6,21.17,1.68,13.53,15.8,0.86,7.13,0.45,2.8,19.27,58.7,82.86,65.67,-1.13,-2.1,0.57,55.0,14.29,66.67,45.21,40.53,43.83,24.91,7.89,3.64,34.08,26.62,40.38,6.25,1.9,1.08,62.83,61.45,69.39,10.92,5.23,1.74,7.33,3.9,1.37,12.13,6.77,2.27,1.65,1.74,1.66,11.9,17.86,14.33,12.35,24.0,19.7,7.2,7.71,5.3,0.58,0.32,0.27,2.15,4.86,2.33,15.05,30.86,20.33,132
2008,1337,Pepperdine,37.0,31,72.48,-7.35,32.26,40.9,34.8,30.22,9.66,69.35,20.74,12.81,21.48,1.68,12.1,17.16,0.7,9.94,0.58,3.9,19.29,41.94,118.09,69.25,-5.74,-1.32,-0.29,18.75,45.45,50.0,40.81,41.54,39.43,17.49,13.0,4.32,29.14,32.2,28.85,4.54,3.78,1.34,70.69,69.71,64.63,5.47,12.91,2.36,3.84,7.26,1.71,6.32,12.58,2.58,1.65,1.73,1.51,8.56,18.36,9.0,10.06,29.27,12.3,8.94,11.64,9.3,0.89,0.4,0.76,2.75,5.55,4.0,10.5,31.45,21.0,241
2008,1352,Robert Morris,37.0,33,74.82,6.88,78.79,46.14,36.57,37.39,10.69,72.55,16.16,12.21,23.45,1.92,17.33,16.64,1.04,9.91,0.6,2.27,19.91,87.62,67.67,56.0,4.61,2.18,0.09,84.62,77.78,50.0,47.5,45.83,39.32,15.8,18.91,1.86,39.5,36.62,25.0,5.1,5.27,0.32,77.12,70.93,48.0,7.37,8.3,0.49,5.67,5.76,0.79,9.79,12.21,1.45,1.73,2.12,1.85,21.23,14.44,18.0,16.23,16.5,20.5,10.31,9.17,14.0,0.64,0.56,0.68,2.38,2.17,2.5,21.38,18.44,23.5,117
2009,1250,Lehigh,37.0,29,63.93,0.93,51.72,38.54,33.93,31.99,8.58,68.82,23.57,12.17,27.38,2.25,11.79,13.45,0.88,6.03,0.45,2.41,18.21,56.25,73.38,,-0.52,1.45,0.0,50.0,53.85,,37.6,39.65,,17.91,16.02,0.0,33.21,30.64,,4.69,3.88,0.0,65.36,71.55,,9.87,13.7,0.0,5.86,6.31,0.0,12.9,14.48,0.0,2.2,2.3,,12.56,10.85,,10.75,16.77,,5.94,6.15,,0.55,0.37,,1.69,3.31,,14.25,23.08,,254
